SKU_ID,Warehouse_ID,Forecast_Qty,Actual_Demand,Month
SKU0391,WH4,243,433,Mar
SKU0257,WH1,98,93,Feb
SKU0060,WH7,341,453,Mar
SKU0450,WH2,80,438,Jan
SKU0304,WH5,165,284,Feb
SKU0330,WH4,66,330,May
SKU0340,WH6,483,323,Jun
SKU0099,WH7,337,233,May
SKU0433,WH3,251,129,Apr
SKU0007,WH1,116,308,Jan
SKU0085,WH4,471,99,Apr
SKU0432,WH4,170,196,Apr
SKU0031,WH7,387,161,May
SKU0051,WH6,269,408,Feb
SKU0209,WH1,120,463,Mar
SKU0188,WH1,225,122,Jun
SKU0204,WH1,247,497,Jan
SKU0328,WH4,103,230,Jun
SKU0060,WH5,350,171,Apr
SKU0224,WH7,290,435,Jun
SKU0079,WH8,59,223,Mar
SKU0331,WH4,51,428,Jun
SKU0195,WH7,261,264,Apr
SKU0057,WH6,404,148,Jan
SKU0230,WH2,196,312,Jan
SKU0479,WH2,236,375,Apr
SKU0408,WH6,252,498,Mar
SKU0242,WH7,411,479,Apr
SKU0407,WH5,149,91,Mar
SKU0092,WH4,119,78,Jun
SKU0327,WH5,200,118,Apr
SKU0375,WH7,380,382,May
SKU0288,WH7,362,300,Mar
SKU0478,WH6,334,256,Jun
SKU0071,WH6,171,434,Feb
SKU0483,WH3,449,412,Feb
SKU0378,WH2,322,382,Jan
SKU0305,WH7,340,154,Feb
SKU0430,WH8,98,125,Mar
SKU0296,WH4,470,464,Mar
SKU0244,WH2,324,325,Feb
SKU0074,WH7,180,378,Jan
SKU0053,WH6,248,262,Jan
SKU0190,WH2,228,382,Jun
SKU0131,WH7,202,310,Jun
SKU0002,WH2,143,150,Feb
SKU0182,WH4,100,398,May
SKU0102,WH3,220,219,May
SKU0051,WH1,385,150,Apr
SKU0355,WH7,314,380,Feb
SKU0486,WH3,134,360,May
SKU0046,WH2,101,337,Mar
SKU0223,WH1,221,482,May
SKU0019,WH7,445,399,Feb
SKU0150,WH3,447,395,Mar
SKU0403,WH4,344,216,Apr
SKU0149,WH3,307,310,Apr
SKU0283,WH4,367,408,Mar
SKU0500,WH1,102,176,Feb
SKU0127,WH4,170,182,Mar
SKU0149,WH1,333,437,Feb
SKU0080,WH2,100,346,Mar
SKU0439,WH8,329,229,Jan
SKU0029,WH1,356,310,Apr
SKU0289,WH6,319,253,Jun
SKU0459,WH1,452,55,May
SKU0266,WH3,471,271,Mar
SKU0405,WH4,287,284,Jun
SKU0145,WH8,456,471,Apr
SKU0314,WH8,223,291,Apr
SKU0191,WH8,321,412,Mar
SKU0446,WH2,120,100,May
SKU0330,WH7,66,57,May
SKU0349,WH5,79,250,Mar
SKU0262,WH2,57,439,Mar
SKU0138,WH3,343,130,Jan
SKU0302,WH2,408,157,Apr
SKU0327,WH8,237,222,Feb
SKU0011,WH7,188,141,Feb
SKU0427,WH5,102,147,Jun
SKU0442,WH5,472,206,May
SKU0235,WH1,287,388,Jun
SKU0038,WH3,462,204,Feb
SKU0488,WH1,354,171,Mar
SKU0407,WH6,367,311,Jun
SKU0046,WH6,114,261,Feb
SKU0125,WH3,78,395,May
SKU0288,WH1,377,162,May
SKU0217,WH3,336,203,Apr
SKU0114,WH4,385,225,Jan
SKU0451,WH8,183,430,Jan
SKU0220,WH2,279,217,Jun
SKU0137,WH3,383,309,Jun
SKU0260,WH1,400,495,Mar
SKU0050,WH7,285,481,May
SKU0494,WH1,421,356,Feb
SKU0453,WH2,484,447,Apr
SKU0077,WH1,158,482,Feb
SKU0073,WH7,191,451,Apr
SKU0015,WH1,299,191,May
SKU0362,WH7,321,301,Jun
SKU0443,WH8,218,51,Jan
SKU0370,WH5,428,307,Feb
SKU0469,WH5,389,112,Jan
SKU0020,WH3,347,269,May
SKU0235,WH3,327,179,May
SKU0196,WH8,475,178,Feb
SKU0364,WH5,477,141,May
SKU0484,WH7,157,198,Mar
SKU0475,WH8,260,455,Feb
SKU0054,WH1,385,123,Jan
SKU0397,WH7,126,492,Mar
SKU0253,WH2,493,175,Apr
SKU0265,WH5,158,413,Jan
SKU0396,WH6,119,196,Mar
SKU0152,WH7,273,71,Apr
SKU0028,WH6,491,71,Mar
SKU0263,WH3,153,62,Jun
SKU0048,WH1,224,133,Jan
SKU0104,WH3,423,180,Mar
SKU0015,WH5,455,490,Feb
SKU0017,WH7,70,255,Mar
SKU0179,WH8,383,320,Jun
SKU0329,WH5,304,70,May
SKU0226,WH5,470,342,May
SKU0486,WH5,463,66,Feb
SKU0424,WH5,125,408,Apr
SKU0323,WH6,331,330,May
SKU0162,WH5,57,380,May
SKU0114,WH2,356,220,Feb
SKU0366,WH2,483,99,Apr
SKU0134,WH1,250,320,Jan
SKU0204,WH8,196,372,May
SKU0264,WH4,425,335,May
SKU0155,WH7,368,490,May
SKU0334,WH5,163,312,Jun
SKU0086,WH4,224,127,Jun
SKU0105,WH3,267,406,Jan
SKU0070,WH4,203,162,Apr
SKU0221,WH6,259,356,Jun
SKU0492,WH8,149,323,Jun
SKU0240,WH6,181,261,Jan
SKU0262,WH8,169,129,Mar
SKU0430,WH4,411,359,Jan
SKU0045,WH6,470,225,Jan
SKU0424,WH3,298,400,Jun
SKU0388,WH7,268,202,Apr
SKU0256,WH4,337,126,Feb
SKU0168,WH3,366,259,Jun
SKU0280,WH6,462,499,Jan
SKU0448,WH2,497,451,May
SKU0434,WH6,158,336,Mar
SKU0053,WH5,52,325,Jun
SKU0403,WH3,181,398,Mar
SKU0235,WH8,242,491,May
SKU0187,WH3,187,336,Jun
SKU0019,WH5,75,190,Jun
SKU0352,WH3,394,123,Apr
SKU0294,WH5,217,487,Jan
SKU0380,WH3,152,304,Apr
SKU0371,WH8,454,285,Apr
SKU0360,WH1,79,393,Jan
SKU0405,WH8,105,453,May
SKU0498,WH1,460,455,Jun
SKU0037,WH3,398,396,Jan
SKU0343,WH7,355,289,Jun
SKU0185,WH4,372,424,Feb
SKU0303,WH7,449,420,Apr
SKU0209,WH1,70,173,Apr
SKU0287,WH5,476,410,Apr
SKU0491,WH5,254,365,Jun
SKU0038,WH2,266,430,Mar
SKU0003,WH7,244,335,May
SKU0483,WH5,255,405,May
SKU0393,WH3,351,413,Apr
SKU0431,WH4,162,276,Mar
SKU0445,WH1,460,52,Apr
SKU0379,WH1,72,393,Apr
SKU0332,WH6,374,417,Jan
SKU0137,WH3,435,138,Apr
SKU0431,WH1,260,308,Jan
SKU0159,WH7,76,325,Apr
SKU0341,WH6,187,330,Jan
SKU0296,WH6,267,342,Mar
SKU0103,WH8,147,322,Jan
SKU0305,WH5,243,481,Feb
SKU0356,WH5,297,332,Mar
SKU0308,WH5,325,458,May
SKU0245,WH4,226,81,Jan
SKU0298,WH2,215,117,Jan
SKU0483,WH2,281,114,Jan
SKU0086,WH8,150,497,Jun
SKU0006,WH1,467,74,May
SKU0271,WH1,237,195,Jun
SKU0028,WH8,310,346,May
