SKU_ID,Warehouse_ID,Current_Stock,Safety_Stock,Reorder_Point,Snapshot_Date,Lead_Time_Days,Inventory_Value
SKU0073,WH4,1051,53,376,5/21/2024,17,108782
SKU0004,WH4,97,214,324,7/7/2025,12,113061
SKU0347,WH6,897,118,266,11/22/2023,7,186418
SKU0387,WH8,1356,279,190,10/25/2025,20,180101
SKU0203,WH4,20,80,490,12/10/2023,20,131050
SKU0329,WH6,884,89,374,7/18/2023,7,210798
SKU0243,WH4,854,222,232,12/4/2025,25,130665
SKU0190,WH4,322,263,299,4/22/2024,19,51161
SKU0175,WH8,971,90,195,9/1/2023,13,168938
SKU0094,WH8,1298,249,456,9/24/2023,11,149150
SKU0163,WH6,306,209,466,4/20/2025,24,64254
SKU0318,WH1,169,129,193,4/11/2024,13,210489
SKU0189,WH7,288,191,268,5/6/2025,18,16057
SKU0481,WH7,1352,225,269,6/30/2024,2,187226
SKU0399,WH7,987,222,487,10/12/2025,16,14564
SKU0478,WH4,605,149,330,11/20/2023,13,106745
SKU0075,WH2,1044,119,105,8/23/2025,19,217779
SKU0436,WH7,914,177,294,3/14/2025,26,234955
SKU0064,WH1,1133,192,229,11/29/2025,6,85917
SKU0359,WH4,991,60,248,10/2/2023,2,64050
SKU0184,WH1,238,139,193,7/2/2025,7,243956
SKU0415,WH1,1241,134,190,7/16/2024,3,67670
SKU0002,WH3,574,66,346,11/4/2023,13,106545
SKU0250,WH1,1346,204,497,6/18/2024,12,98417
SKU0327,WH3,266,208,384,8/11/2023,10,258330
SKU0061,WH8,1432,255,243,9/19/2024,13,73935
SKU0185,WH5,702,165,468,1/14/2026,15,193387
SKU0356,WH8,1339,210,463,3/28/2026,8,109067
SKU0265,WH3,940,51,223,3/31/2024,18,273978
SKU0090,WH5,512,72,149,8/11/2025,21,48323
SKU0436,WH5,890,239,487,7/14/2023,27,98209
SKU0010,WH5,430,279,305,11/15/2025,28,226494
SKU0031,WH3,49,231,115,4/26/2024,2,280633
SKU0106,WH1,639,86,238,11/2/2025,8,147622
SKU0143,WH4,70,267,290,9/15/2025,6,297549
SKU0273,WH6,1248,179,194,12/30/2023,6,26373
SKU0283,WH5,1006,213,384,2/15/2024,10,48067
SKU0182,WH4,1245,268,393,7/21/2023,24,208909
SKU0189,WH8,1434,62,335,12/26/2025,29,264972
SKU0228,WH1,1135,181,137,6/14/2025,5,57420
SKU0142,WH5,1169,265,191,1/25/2024,2,18828
SKU0476,WH5,72,164,198,9/18/2024,21,294043
SKU0072,WH5,982,265,196,10/26/2023,9,123965
SKU0178,WH5,1222,188,322,7/3/2024,2,88916
SKU0348,WH3,1455,89,427,10/5/2024,11,140501
SKU0236,WH3,1049,66,322,1/19/2024,8,50166
SKU0030,WH2,468,88,467,11/21/2024,7,120680
SKU0169,WH4,372,264,153,10/16/2023,28,195255
SKU0477,WH4,111,216,296,11/19/2023,29,236126
SKU0012,WH8,95,149,201,12/20/2025,4,298969
SKU0483,WH2,1308,277,219,10/11/2025,11,57906
SKU0083,WH3,610,156,108,3/9/2026,8,84587
SKU0438,WH2,823,118,410,9/3/2024,9,214613
SKU0046,WH5,750,170,165,4/2/2025,3,172819
SKU0197,WH3,1337,79,456,8/31/2023,9,52910
SKU0332,WH5,1347,120,169,12/14/2025,11,147812
SKU0326,WH2,1277,111,375,10/12/2023,29,54350
SKU0005,WH4,30,113,304,2/12/2024,23,17040
SKU0088,WH1,1121,95,177,2/27/2025,15,163063
SKU0105,WH6,1260,104,486,4/10/2024,6,25715
SKU0146,WH7,173,238,463,2/24/2024,28,200580
SKU0153,WH1,652,51,460,2/23/2025,14,254277
SKU0186,WH7,1057,153,143,10/19/2024,11,135069
SKU0252,WH6,1310,172,345,8/12/2024,22,42667
SKU0184,WH5,885,167,252,5/18/2025,24,165991
SKU0028,WH6,828,241,150,10/28/2025,21,264184
SKU0433,WH1,858,207,114,3/31/2025,13,226009
SKU0216,WH5,474,91,205,7/8/2024,11,285335
SKU0343,WH2,189,142,304,9/19/2023,2,78675
SKU0065,WH3,654,223,255,10/31/2023,22,56641
SKU0206,WH4,26,128,286,7/28/2023,28,36434
SKU0083,WH5,41,170,334,10/8/2024,8,137246
SKU0294,WH7,831,188,423,6/22/2025,11,243071
SKU0097,WH3,678,120,189,4/5/2024,18,281284
SKU0101,WH3,640,196,400,11/8/2025,6,231464
SKU0198,WH7,730,143,310,10/6/2023,17,66010
SKU0290,WH5,968,106,292,4/12/2025,2,284908
SKU0407,WH4,1373,113,205,11/7/2025,11,64959
SKU0247,WH4,587,215,384,1/15/2024,14,25208
SKU0347,WH3,520,56,255,3/12/2025,24,158349
SKU0142,WH1,1310,295,390,11/28/2023,18,82535
SKU0214,WH8,816,213,112,6/11/2025,26,152317
SKU0294,WH7,167,63,113,2/16/2025,29,244407
SKU0078,WH3,1026,137,172,9/30/2023,11,58203
SKU0470,WH2,511,246,293,12/12/2023,20,94074
SKU0045,WH6,1168,124,344,4/20/2024,11,186261
SKU0061,WH6,498,161,433,8/14/2023,19,151260
SKU0393,WH5,169,216,358,5/17/2024,9,261045
SKU0459,WH3,934,76,103,11/2/2025,17,101518
SKU0492,WH8,1020,203,298,1/16/2026,21,170177
SKU0204,WH4,360,257,370,12/16/2024,4,256057
SKU0089,WH2,1450,291,279,12/9/2023,13,178381
