Order_ID,SKU_ID,Warehouse_ID,Customer_Region,Demand_Qty,Delivered_Qty,Order_Date,Order_Status
O000001,SKU0063,WH1,East,149,148,7/14/2023 3:00,DELIVERED
O000002,SKU0244,WH4,South,157,157,7/14/2023 4:00,DELIVERED
O000003,SKU0025,WH8,East,92,85,7/14/2023 5:00,DELAYED
O000004,SKU0090,WH1,West,152,50,7/14/2023 6:00,PARTIAL
O000005,SKU0075,WH5,North,170,121,7/14/2023 7:00,DELAYED
O000006,SKU0294,WH4,East,84,84,7/14/2023 8:00,PARTIAL
O000007,SKU0386,WH4,South,48,48,7/14/2023 9:00,DELIVERED
O000008,SKU0391,WH6,East,217,217,7/14/2023 10:00,PARTIAL
O000009,SKU0210,WH7,South,77,77,7/14/2023 11:00,PARTIAL
O000010,SKU0475,WH1,West,43,43,7/14/2023 12:00,PARTIAL
O000011,SKU0418,WH1,North,264,264,7/14/2023 13:00,DELAYED
O000012,SKU0347,WH3,West,63,63,7/14/2023 14:00,DELIVERED
O000013,SKU0017,WH2,East,245,4,7/14/2023 15:00,DELIVERED
O000014,SKU0128,WH8,East,120,120,7/14/2023 16:00,DELAYED
O000015,SKU0427,WH4,North,262,255,7/14/2023 17:00,DELAYED
O000016,SKU0443,WH6,South,250,151,7/14/2023 18:00,DELAYED
O000017,SKU0364,WH2,West,52,6,7/14/2023 19:00,DELIVERED
O000018,SKU0251,WH7,South,277,215,7/14/2023 20:00,DELIVERED
O000019,SKU0179,WH7,East,142,142,7/14/2023 21:00,DELIVERED
O000020,SKU0182,WH8,South,251,133,7/14/2023 22:00,DELAYED
O000021,SKU0152,WH6,West,225,85,7/14/2023 23:00,DELAYED
O000022,SKU0025,WH2,South,153,153,7/15/2023 0:00,DELIVERED
O000023,SKU0455,WH8,East,56,56,7/15/2023 1:00,PARTIAL
O000024,SKU0180,WH8,West,9,9,7/15/2023 2:00,PARTIAL
O000025,SKU0198,WH8,South,241,20,7/15/2023 3:00,DELIVERED
O000026,SKU0344,WH8,South,164,164,7/15/2023 4:00,PARTIAL
O000027,SKU0161,WH4,West,133,133,7/15/2023 5:00,DELAYED
