Supplier_ID,Supplier_Name,OTD_Pct,Defect_Rate,Lead_Time_Days,Supplier_Country
SUP001,Supplier_1,84,2.04,16,India
SUP002,Supplier_2,92,3.34,5,India
SUP003,Supplier_3,75,7.45,14,India
SUP004,Supplier_4,68,5.91,25,India
SUP005,Supplier_5,79,0.86,21,India
SUP006,Supplier_6,70,6.36,25,India
SUP007,Supplier_7,94,6.71,16,India
SUP008,Supplier_8,66,6.13,9,India
SUP009,Supplier_9,79,6.5,6,India
SUP010,Supplier_10,75,6.69,16,India
SUP011,Supplier_11,72,1.9,5,India
SUP012,Supplier_12,90,2.27,13,India
SUP013,Supplier_13,69,5.25,14,India
SUP014,Supplier_14,70,7.31,3,India
SUP015,Supplier_15,90,2.87,28,India
SUP016,Supplier_16,68,4.91,20,India
SUP017,Supplier_17,83,5.62,20,India
SUP018,Supplier_18,84,3.89,5,India
SUP019,Supplier_19,97,5.85,5,India
SUP020,Supplier_20,84,7.25,27,India
SUP021,Supplier_21,76,5.18,12,India
SUP022,Supplier_22,65,4.55,28,India
SUP023,Supplier_23,90,3.79,6,India
SUP024,Supplier_24,78,4.83,21,India
SUP025,Supplier_25,75,3.17,12,India
SUP026,Supplier_26,77,3.44,11,India
SUP027,Supplier_27,67,4.49,9,India
SUP028,Supplier_28,97,1,7,India
SUP029,Supplier_29,70,2.22,7,India
SUP030,Supplier_30,74,4.57,9,India
SUP031,Supplier_31,69,3.74,24,India
SUP032,Supplier_32,87,3,16,India
SUP033,Supplier_33,74,5.98,27,India
SUP034,Supplier_34,66,5.7,15,India
SUP035,Supplier_35,77,1.75,12,India
SUP036,Supplier_36,66,7.09,13,India
SUP037,Supplier_37,84,4.22,27,India
SUP038,Supplier_38,65,6.06,14,India
SUP039,Supplier_39,73,4.8,9,India
SUP040,Supplier_40,81,7.98,19,India
SUP041,Supplier_41,73,6.14,26,India
SUP042,Supplier_42,75,5.8,2,India
SUP043,Supplier_43,79,6.34,16,India
SUP044,Supplier_44,88,1.57,9,India
SUP045,Supplier_45,94,2.03,29,India
SUP046,Supplier_46,95,5.86,12,India
SUP047,Supplier_47,69,4.2,13,India
SUP048,Supplier_48,78,6.16,13,India
SUP049,Supplier_49,75,1.27,5,India
SUP050,Supplier_50,73,4.52,17,India
