Supplier_ID,SKU_ID
SUP049,SKU0001
SUP012,SKU0002
SUP009,SKU0003
SUP007,SKU0004
SUP002,SKU0005
SUP018,SKU0006
SUP021,SKU0007
SUP037,SKU0008
SUP026,SKU0009
SUP010,SKU0010
SUP036,SKU0011
SUP001,SKU0012
SUP021,SKU0013
SUP036,SKU0014
SUP014,SKU0015
SUP049,SKU0016
SUP039,SKU0017
SUP037,SKU0018
SUP042,SKU0019
SUP010,SKU0020
SUP019,SKU0021
SUP008,SKU0022
SUP048,SKU0023
SUP028,SKU0024
SUP031,SKU0025
SUP021,SKU0026
SUP022,SKU0027
SUP011,SKU0028
SUP026,SKU0029
SUP037,SKU0030
SUP006,SKU0031
SUP049,SKU0032
SUP036,SKU0033
SUP050,SKU0034
SUP008,SKU0035
SUP002,SKU0036
SUP039,SKU0037
SUP019,SKU0038
SUP024,SKU0039
SUP023,SKU0040
SUP015,SKU0041
SUP018,SKU0042
SUP003,SKU0043
SUP026,SKU0044
SUP011,SKU0045
SUP027,SKU0046
SUP050,SKU0047
SUP038,SKU0048
SUP015,SKU0049
SUP007,SKU0050
SUP031,SKU0051
SUP007,SKU0052
SUP045,SKU0053
SUP034,SKU0054
SUP041,SKU0055
SUP041,SKU0056
SUP038,SKU0057
SUP013,SKU0058
SUP011,SKU0059
SUP036,SKU0060
SUP027,SKU0061
SUP007,SKU0062
SUP010,SKU0063
SUP035,SKU0064
SUP002,SKU0065
SUP031,SKU0066
SUP044,SKU0067
SUP046,SKU0068
SUP035,SKU0069
SUP040,SKU0070
SUP010,SKU0071
SUP038,SKU0072
SUP012,SKU0073
SUP020,SKU0074
SUP006,SKU0075
SUP041,SKU0076
SUP008,SKU0077
SUP007,SKU0078
SUP043,SKU0079
SUP007,SKU0080
SUP013,SKU0081
SUP023,SKU0082
SUP018,SKU0083
SUP027,SKU0084
SUP006,SKU0085
SUP005,SKU0086
SUP046,SKU0087
SUP004,SKU0088
SUP003,SKU0089
SUP012,SKU0090
SUP044,SKU0091
SUP048,SKU0092
SUP037,SKU0093
SUP025,SKU0094
SUP021,SKU0095
SUP037,SKU0096
SUP001,SKU0097
SUP049,SKU0098
SUP050,SKU0099
SUP034,SKU0100
SUP045,SKU0101
SUP036,SKU0102
SUP049,SKU0103
SUP021,SKU0104
SUP017,SKU0105
SUP028,SKU0106
SUP024,SKU0107
SUP011,SKU0108
SUP008,SKU0109
SUP036,SKU0110
SUP049,SKU0111
SUP001,SKU0112
SUP030,SKU0113
SUP029,SKU0114
SUP033,SKU0115
SUP036,SKU0116
SUP019,SKU0117
SUP040,SKU0118
SUP013,SKU0119
SUP029,SKU0120
SUP014,SKU0121
SUP027,SKU0122
SUP047,SKU0123
SUP030,SKU0124
SUP007,SKU0125
SUP036,SKU0126
SUP015,SKU0127
SUP029,SKU0128
SUP021,SKU0129
SUP026,SKU0130
SUP023,SKU0131
SUP045,SKU0132
SUP045,SKU0133
SUP009,SKU0134
SUP006,SKU0135
SUP032,SKU0136
SUP015,SKU0137
SUP015,SKU0138
SUP036,SKU0139
SUP050,SKU0140
SUP016,SKU0141
SUP041,SKU0142
SUP008,SKU0143
SUP011,SKU0144
SUP005,SKU0145
SUP014,SKU0146
SUP006,SKU0147
SUP009,SKU0148
SUP010,SKU0149
SUP024,SKU0150
SUP048,SKU0151
SUP049,SKU0152
SUP007,SKU0153
SUP046,SKU0154
SUP008,SKU0155
SUP034,SKU0156
SUP015,SKU0157
SUP011,SKU0158
SUP035,SKU0159
SUP024,SKU0160
SUP017,SKU0161
SUP046,SKU0162
SUP036,SKU0163
SUP035,SKU0164
SUP049,SKU0165
SUP001,SKU0166
SUP010,SKU0167
SUP040,SKU0168
SUP022,SKU0169
SUP008,SKU0170
SUP014,SKU0171
SUP013,SKU0172
SUP037,SKU0173
SUP032,SKU0174
SUP044,SKU0175
SUP021,SKU0176
SUP032,SKU0177
SUP004,SKU0178
SUP030,SKU0179
SUP027,SKU0180
SUP028,SKU0181
SUP011,SKU0182
SUP039,SKU0183
SUP014,SKU0184
SUP049,SKU0185
SUP025,SKU0186
SUP011,SKU0187
SUP018,SKU0188
