Shipment_ID,Warehouse_ID,Carrier,Origin,Destination,Freight_Cost,Delivery_Days,,,
SHP00001,WH1,UPS,Pune,Hyderabad,19456,2,,,
SHP00002,WH7,DHL,Mumbai,Delhi,3314,9,,,
SHP00003,WH1,BlueDart,Chennai,Bangalore,14635,9,,,
SHP00004,WH3,UPS,Mumbai,Delhi,14829,5,,,
SHP00005,WH2,DHL,Mumbai,Delhi,12167,8,,,
SHP00006,WH2,BlueDart,Chennai,Bangalore,19691,1,,,
SHP00007,WH1,DHL,Chennai,Bangalore,3858,8,,,
SHP00008,WH3,BlueDart,Pune,Hyderabad,19543,2,,,
SHP00009,WH5,BlueDart,Pune,Hyderabad,18801,2,,,
SHP00010,WH6,BlueDart,Mumbai,Delhi,13607,4,,,
SHP00011,WH7,BlueDart,Chennai,Bangalore,17560,3,,,
SHP00012,WH6,UPS,Mumbai,Delhi,16230,9,,,
SHP00013,WH3,FedEx,Pune,Hyderabad,16278,3,,,
SHP00014,WH5,FedEx,Chennai,Bangalore,8967,9,,,
SHP00015,WH4,FedEx,Chennai,Bangalore,8031,5,,,
SHP00016,WH1,DHL,Mumbai,Delhi,5011,8,,,
SHP00017,WH1,DHL,Mumbai,Delhi,10781,7,,,
SHP00018,WH5,UPS,Chennai,Bangalore,9081,8,,,
SHP00019,WH2,BlueDart,Pune,Hyderabad,7086,9,,,
SHP00020,WH1,BlueDart,Pune,Hyderabad,18759,2,,,
SHP00021,WH8,UPS,Chennai,Bangalore,8530,9,,,
SHP00022,WH7,FedEx,Mumbai,Delhi,11697,1,,,
SHP00023,WH3,UPS,Chennai,Bangalore,16220,8,,,
SHP00024,WH4,FedEx,Mumbai,Delhi,10178,4,,,
SHP00025,WH8,BlueDart,Pune,Hyderabad,6567,4,,,
SHP00026,WH6,DHL,Chennai,Bangalore,11216,4,,,
SHP00027,WH6,DHL,Mumbai,Delhi,11280,6,,,
SHP00028,WH3,BlueDart,Chennai,Bangalore,15981,5,,,
SHP00029,WH6,UPS,Mumbai,Delhi,3240,6,,,
SHP00030,WH8,UPS,Pune,Hyderabad,7688,5,,,
SHP00031,WH7,BlueDart,Pune,Hyderabad,9625,5,,,
SHP00032,WH2,BlueDart,Chennai,Bangalore,11665,5,,,
SHP00033,WH8,FedEx,Mumbai,Delhi,2086,2,,,
SHP00034,WH5,DHL,Chennai,Bangalore,15159,5,,,
SHP00035,WH4,UPS,Pune,Hyderabad,10426,3,,,
SHP00036,WH1,FedEx,Mumbai,Delhi,13160,9,,,
SHP00037,WH6,FedEx,Chennai,Bangalore,1229,6,,,
SHP00038,WH3,FedEx,Pune,Hyderabad,4735,1,,,
SHP00039,WH5,BlueDart,Chennai,Bangalore,17686,9,,,
SHP00040,WH3,BlueDart,Mumbai,Delhi,16006,8,,,
SHP00041,WH4,DHL,Pune,Hyderabad,8546,9,,,
SHP00042,WH3,BlueDart,Pune,Hyderabad,9485,6,,,
SHP00043,WH2,UPS,Chennai,Bangalore,13696,2,,,
SHP00044,WH5,DHL,Pune,Hyderabad,5799,3,,,
SHP00045,WH1,DHL,Chennai,Bangalore,10897,8,,,
SHP00046,WH6,BlueDart,Chennai,Bangalore,16888,9,,,
SHP00047,WH8,BlueDart,Chennai,Bangalore,19949,9,,,
SHP00048,WH2,FedEx,Pune,Hyderabad,10288,1,,,
SHP00049,WH4,FedEx,Chennai,Bangalore,4128,9,,,
SHP00050,WH2,DHL,Mumbai,Delhi,6649,9,,,
SHP00051,WH6,FedEx,Chennai,Bangalore,5028,2,,,
SHP00052,WH5,DHL,Pune,Hyderabad,15206,1,,,
SHP00053,WH6,UPS,Pune,Hyderabad,12058,1,,,
SHP00054,WH1,FedEx,Chennai,Bangalore,18782,3,,,
SHP00055,WH7,DHL,Chennai,Bangalore,14852,1,,,
SHP00056,WH1,UPS,Pune,Hyderabad,19051,4,,,
SHP00057,WH3,UPS,Pune,Hyderabad,6127,4,,,
SHP00058,WH1,FedEx,Chennai,Bangalore,1504,8,,,
SHP00059,WH1,BlueDart,Chennai,Bangalore,13571,6,,,
SHP00060,WH8,UPS,Pune,Hyderabad,18590,2,,,
SHP00061,WH7,FedEx,Mumbai,Delhi,15487,5,,,
SHP00062,WH2,FedEx,Chennai,Bangalore,2415,9,,,
SHP00063,WH5,DHL,Chennai,Bangalore,11176,3,,,
SHP00064,WH4,FedEx,Pune,Hyderabad,16255,2,,,
SHP00065,WH1,FedEx,Mumbai,Delhi,2899,2,,,
SHP00066,WH1,DHL,Mumbai,Delhi,15142,6,,,
SHP00067,WH2,DHL,Pune,Hyderabad,2580,7,,,
SHP00068,WH7,DHL,Pune,Hyderabad,2145,8,,,
SHP00069,WH7,UPS,Chennai,Bangalore,8479,1,,,
SHP00070,WH5,DHL,Mumbai,Delhi,17206,3,,,
SHP00071,WH7,UPS,Mumbai,Delhi,11403,4,,,
SHP00072,WH3,BlueDart,Chennai,Bangalore,16193,8,,,
SHP00073,WH1,UPS,Mumbai,Delhi,7985,2,,,
SHP00074,WH2,DHL,Pune,Hyderabad,14719,6,,,
SHP00075,WH8,DHL,Chennai,Bangalore,18094,4,,,
SHP00076,WH6,BlueDart,Mumbai,Delhi,1172,8,,,
SHP00077,WH3,DHL,Chennai,Bangalore,14237,1,,,
SHP00078,WH7,DHL,Pune,Hyderabad,3452,1,,,
SHP00079,WH4,BlueDart,Mumbai,Delhi,3964,9,,,
SHP00080,WH2,FedEx,Pune,Hyderabad,6425,4,,,
SHP00081,WH4,BlueDart,Chennai,Bangalore,8931,2,,,
SHP00082,WH8,UPS,Pune,Hyderabad,8283,4,,,
SHP00083,WH6,UPS,Pune,Hyderabad,10265,6,,,
SHP00084,WH7,BlueDart,Mumbai,Delhi,13315,3,,,
SHP00085,WH6,BlueDart,Mumbai,Delhi,9943,1,,,
SHP00086,WH1,BlueDart,Chennai,Bangalore,12846,9,,,
SHP00087,WH8,UPS,Pune,Hyderabad,19998,7,,,
SHP00088,WH7,BlueDart,Mumbai,Delhi,18020,2,,,
SHP00089,WH6,UPS,Pune,Hyderabad,4352,9,,,
SHP00090,WH4,UPS,Chennai,Bangalore,18934,4,,,
SHP00091,WH6,UPS,Pune,Hyderabad,17986,6,,,
SHP00092,WH1,FedEx,Pune,Hyderabad,7905,8,,,
SHP00093,WH3,DHL,Mumbai,Delhi,6521,4,,,
SHP00094,WH5,BlueDart,Chennai,Bangalore,13104,5,,,
SHP00095,WH7,DHL,Pune,Hyderabad,1856,7,,,
SHP00096,WH4,DHL,Mumbai,Delhi,13622,5,,,
SHP00097,WH1,UPS,Chennai,Bangalore,15971,4,,,
SHP00098,WH3,DHL,Mumbai,Delhi,8311,9,,,
SHP00099,WH6,BlueDart,Pune,Hyderabad,4813,7,,,
SHP00100,WH8,BlueDart,Pune,Hyderabad,9343,2,,,
SHP00101,WH8,DHL,Pune,Hyderabad,11020,1,,,
SHP00102,WH4,DHL,Mumbai,Delhi,18997,9,,,
SHP00103,WH2,BlueDart,Pune,Hyderabad,11736,3,,,
SHP00104,WH7,DHL,Pune,Hyderabad,5062,9,,,
SHP00105,WH6,BlueDart,Mumbai,Delhi,19206,6,,,
SHP00106,WH8,FedEx,Mumbai,Delhi,6525,2,,,
SHP00107,WH5,BlueDart,Pune,Hyderabad,2196,5,,,
SHP00108,WH2,FedEx,Mumbai,Delhi,4668,6,,,
SHP00109,WH8,FedEx,Mumbai,Delhi,18184,7,,,
SHP00110,WH8,DHL,Mumbai,Delhi,9416,4,,,
SHP00111,WH1,UPS,Chennai,Bangalore,3141,2,,,
SHP00112,WH6,UPS,Mumbai,Delhi,14450,9,,,
SHP00113,WH3,DHL,Chennai,Bangalore,1312,4,,,
SHP00114,WH6,UPS,Chennai,Bangalore,15755,7,,,
SHP00115,WH1,DHL,Chennai,Bangalore,17628,1,,,
SHP00116,WH5,DHL,Pune,Hyderabad,4108,3,,,
SHP00117,WH8,FedEx,Chennai,Bangalore,3777,8,,,
SHP00118,WH2,UPS,Chennai,Bangalore,5363,8,,,
SHP00119,WH7,UPS,Pune,Hyderabad,12565,4,,,
SHP00120,WH1,BlueDart,Pune,Hyderabad,1555,9,,,
SHP00121,WH4,DHL,Chennai,Bangalore,11819,6,,,
SHP00122,WH1,FedEx,Pune,Hyderabad,7870,9,,,
SHP00123,WH8,FedEx,Chennai,Bangalore,19163,3,,,
SHP00124,WH7,FedEx,Pune,Hyderabad,8716,7,,,
SHP00125,WH3,FedEx,Mumbai,Delhi,9722,6,,,
SHP00126,WH5,BlueDart,Pune,Hyderabad,5220,5,,,
SHP00127,WH6,UPS,Pune,Hyderabad,10939,6,,,
SHP00128,WH8,UPS,Chennai,Bangalore,5614,1,,,
SHP00129,WH6,UPS,Chennai,Bangalore,11271,8,,,
SHP00130,WH5,FedEx,Chennai,Bangalore,10733,7,,,
SHP00131,WH8,UPS,Mumbai,Delhi,11143,8,,,
SHP00132,WH2,BlueDart,Mumbai,Delhi,4888,1,,,
SHP00133,WH5,FedEx,Mumbai,Delhi,5826,7,,,
SHP00134,WH5,DHL,Chennai,Bangalore,19641,5,,,
SHP00135,WH7,FedEx,Chennai,Bangalore,7195,4,,,
SHP00136,WH5,BlueDart,Pune,Hyderabad,2058,7,,,
SHP00137,WH4,DHL,Chennai,Bangalore,8930,7,,,
SHP00138,WH5,UPS,Pune,Hyderabad,1983,2,,,
SHP00139,WH4,FedEx,Mumbai,Delhi,10619,1,,,
SHP00140,WH2,UPS,Pune,Hyderabad,4307,6,,,
SHP00141,WH4,DHL,Mumbai,Delhi,12599,3,,,
SHP00142,WH6,BlueDart,Chennai,Bangalore,6266,5,,,
SHP00143,WH8,DHL,Mumbai,Delhi,8285,1,,,
SHP00144,WH3,UPS,Mumbai,Delhi,17201,9,,,
SHP00145,WH3,DHL,Pune,Hyderabad,16426,3,,,
SHP00146,WH7,UPS,Pune,Hyderabad,19023,5,,,
SHP00147,WH2,UPS,Mumbai,Delhi,13535,6,,,
SHP00148,WH7,UPS,Pune,Hyderabad,11138,1,,,
SHP00149,WH7,FedEx,Pune,Hyderabad,11028,9,,,
SHP00150,WH2,UPS,Pune,Hyderabad,14705,3,,,
SHP00151,WH8,UPS,Chennai,Bangalore,9574,4,,,
SHP00152,WH5,FedEx,Chennai,Bangalore,16724,3,,,
SHP00153,WH4,FedEx,Chennai,Bangalore,15867,6,,,
SHP00154,WH2,FedEx,Chennai,Bangalore,2268,1,,,
SHP00155,WH3,UPS,Chennai,Bangalore,17058,9,,,
SHP00156,WH8,DHL,Pune,Hyderabad,5715,2,,,
SHP00157,WH6,FedEx,Pune,Hyderabad,9548,2,,,
SHP00158,WH1,UPS,Chennai,Bangalore,19800,4,,,
SHP00159,WH8,UPS,Chennai,Bangalore,10464,1,,,
SHP00160,WH8,UPS,Mumbai,Delhi,17250,3,,,
SHP00161,WH4,DHL,Pune,Hyderabad,16249,6,,,
SHP00162,WH7,BlueDart,Pune,Hyderabad,13627,1,,,
SHP00163,WH6,FedEx,Pune,Hyderabad,3628,5,,,
SHP00164,WH7,DHL,Pune,Hyderabad,8205,5,,,
SHP00165,WH3,UPS,Pune,Hyderabad,16214,4,,,
SHP00166,WH8,FedEx,Mumbai,Delhi,10892,2,,,
SHP00167,WH5,DHL,Mumbai,Delhi,18532,4,,,
SHP00168,WH5,FedEx,Mumbai,Delhi,14887,2,,,
SHP00169,WH8,DHL,Pune,Hyderabad,13399,3,,,
SHP00170,WH7,BlueDart,Pune,Hyderabad,13354,1,,,
SHP00171,WH3,UPS,Mumbai,Delhi,17859,3,,,
SHP00172,WH7,DHL,Chennai,Bangalore,3178,1,,,
SHP00173,WH7,FedEx,Chennai,Bangalore,6195,8,,,
SHP00174,WH1,FedEx,Pune,Hyderabad,6741,1,,,
SHP00175,WH3,UPS,Chennai,Bangalore,18668,1,,,
SHP00176,WH6,FedEx,Mumbai,Delhi,13495,7,,,
SHP00177,WH4,UPS,Chennai,Bangalore,13906,2,,,
SHP00178,WH1,FedEx,Pune,Hyderabad,14074,4,,,
SHP00179,WH8,DHL,Chennai,Bangalore,11184,1,,,
SHP00180,WH5,DHL,Mumbai,Delhi,6821,6,,,
SHP00181,WH8,UPS,Chennai,Bangalore,18304,3,,,
SHP00182,WH1,FedEx,Pune,Hyderabad,8477,3,,,
SHP00183,WH3,FedEx,Pune,Hyderabad,19988,9,,,
SHP00184,WH1,FedEx,Chennai,Bangalore,7646,7,,,
SHP00185,WH5,UPS,Chennai,Bangalore,8944,9,,,
SHP00186,WH4,BlueDart,Pune,Hyderabad,16898,9,,,
SHP00187,WH8,BlueDart,Chennai,Bangalore,1565,9,,,
SHP00188,WH8,UPS,Pune,Hyderabad,2125,7,,,
SHP00189,WH8,DHL,Pune,Hyderabad,19073,4,,,
SHP00190,WH8,BlueDart,Mumbai,Delhi,12040,5,,,
SHP00191,WH8,UPS,Chennai,Bangalore,1656,6,,,
SHP00192,WH7,BlueDart,Pune,Hyderabad,15332,8,,,
SHP00193,WH4,UPS,Pune,Hyderabad,8661,2,,,
SHP00194,WH7,DHL,Mumbai,Delhi,5114,7,,,
SHP00195,WH3,DHL,Pune,Hyderabad,3343,5,,,
SHP00196,WH8,UPS,Pune,Hyderabad,10843,5,,,
SHP00197,WH5,DHL,Chennai,Bangalore,13222,7,,,
SHP00198,WH8,FedEx,Pune,Hyderabad,14112,1,,,
SHP00199,WH4,UPS,Mumbai,Delhi,15452,1,,,
SHP00200,WH8,FedEx,Chennai,Bangalore,19767,9,,,
SHP00201,WH2,DHL,Mumbai,Delhi,14336,4,,,
SHP00202,WH5,BlueDart,Chennai,Bangalore,6712,8,,,
SHP00203,WH8,DHL,Mumbai,Delhi,13236,8,,,
SHP00204,WH8,BlueDart,Pune,Hyderabad,7088,9,,,
SHP00205,WH4,FedEx,Chennai,Bangalore,4291,8,,,
SHP00206,WH3,FedEx,Pune,Hyderabad,6150,1,,,
SHP00207,WH1,DHL,Mumbai,Delhi,9180,4,,,
SHP00208,WH4,BlueDart,Pune,Hyderabad,8878,5,,,
SHP00209,WH6,DHL,Mumbai,Delhi,11950,9,,,
SHP00210,WH3,UPS,Chennai,Bangalore,1749,4,,,
SHP00211,WH4,UPS,Chennai,Bangalore,5040,8,,,
SHP00212,WH3,DHL,Chennai,Bangalore,3123,4,,,
SHP00213,WH2,FedEx,Chennai,Bangalore,3019,6,,,
SHP00214,WH4,BlueDart,Pune,Hyderabad,15234,6,,,
SHP00215,WH7,DHL,Pune,Hyderabad,10121,8,,,
SHP00216,WH6,DHL,Pune,Hyderabad,1383,7,,,
SHP00217,WH2,FedEx,Pune,Hyderabad,13121,3,,,
SHP00218,WH1,BlueDart,Pune,Hyderabad,10087,1,,,
SHP00219,WH7,FedEx,Chennai,Bangalore,17454,9,,,
SHP00220,WH8,BlueDart,Mumbai,Delhi,13541,8,,,
SHP00221,WH7,FedEx,Chennai,Bangalore,17966,8,,,
SHP00222,WH3,UPS,Chennai,Bangalore,1235,6,,,
SHP00223,WH5,FedEx,Pune,Hyderabad,10274,2,,,
SHP00224,WH8,BlueDart,Chennai,Bangalore,19719,2,,,
SHP00225,WH8,DHL,Pune,Hyderabad,6209,8,,,
SHP00226,WH6,BlueDart,Pune,Hyderabad,2485,6,,,
SHP00227,WH3,UPS,Pune,Hyderabad,8886,1,,,
SHP00228,WH5,DHL,Mumbai,Delhi,12133,1,,,
SHP00229,WH4,UPS,Chennai,Bangalore,4006,4,,,
SHP00230,WH3,BlueDart,Chennai,Bangalore,5240,7,,,
SHP00231,WH6,BlueDart,Chennai,Bangalore,18720,8,,,
SHP00232,WH5,UPS,Chennai,Bangalore,7545,4,,,
SHP00233,WH4,UPS,Chennai,Bangalore,6465,6,,,
SHP00234,WH8,UPS,Pune,Hyderabad,17997,6,,,
SHP00235,WH3,UPS,Pune,Hyderabad,8940,1,,,
SHP00236,WH2,DHL,Mumbai,Delhi,10316,4,,,
SHP00237,WH7,DHL,Pune,Hyderabad,4281,3,,,
SHP00238,WH6,BlueDart,Mumbai,Delhi,12574,6,,,
SHP00239,WH4,BlueDart,Pune,Hyderabad,11407,3,,,
